feature_name,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26,keyword27,keyword28,keyword29,keyword30,keyword31,keyword32,keyword33,keyword34,keyword35,keyword36,keyword37,keyword38,keyword39,keyword40,keyword41,keyword42,keyword43,keyword44,keyword45,keyword46,keyword47,keyword48,keyword49,keyword50,keyword51,keyword52,keyword53,keyword54,keyword55
Colour,Blacks,Greys,Whites,Off-whites,Transparent,Blues,Reds,Greens,Yellows,Browns,Pinks,Oranges,Turquoise,Golds,Purples,Beige,Silvers,Multicoloured,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Size,One Size,Free Size,1 Ml,2 Ml,5 Ml,10 Ml,50 Ml,100 Ml,500 Ml,1000 Ml,5 Lt.,1 Gm,2 Gm,5 Gm,10 Gm,50 Gm,100 Gm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qty,1,2,3,4,5,6,7,8,9,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brand Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Selling Price,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Short Product Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SKU Code,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pack Qty,1,2,3,4,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pack Qty Unit of Measurement, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Material / Content,Cotton,Silk,Polyester,Wool,Jute,Leather,PU,Vegan Leather,Nylon,Viscose,Linen,Rayon,Modal,Elastane,Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manufacturer Name & Address,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country of Origin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Customer Care Contact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Care Instructions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Time to Ship,0-30 Min,30-60 Min,1-2 Hr,2-4 Hr,Same Day,1-2 Days,3-5 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cancellable (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Returnable (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Replaceable (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COD Available (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 4 / Video 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Image 5 / Video 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Weight,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Weight Unit of Measurement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Length x Breadth x Height (Cubic Cm.),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liquid (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hazardous (Y/N),Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gender,Unisex,Male,Female,Boy,Girl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Concern,Acne & Blemishes,Anti Ageing,Anti Pollution,Bad Breath,Blackheads/Whiteheads,Brightening,Cavities,Chapped Lips,Cleansing,Colour Protection,Cuticle Care,Dandruff,Dark Spots/Pigmentation,Dry & Frizzy Hair,Dryness,Dullness,Fine Lines & Wrinkles,Firming,Hairfall & Thinning,Heat Protection,Hydration,Menstrual Cycle,Odour,Oil Control,Plaque,Pores,Product Build-Up,Soap Free,Split Ends,Stretch Marks,Sun Protection,Tan Removal,Tangled Hair,Under Eye Concern,Uneven Skin Tone,Waterproof,Hairfall & Thinning,Dry & Frizzy Hair,Dandruff,Dullness,Split Ends,Dryness,Color Protection,Tangled Hair,Product Build-Up,Oil Control,Heat Protection,Dryness,Cuticle Care,Tan Removal,Fine Lines & Wrinkles,Dullness,Anti Ageing,Bad Breath,Plaque,Cavities
Ingredient,Almond,Aloe Vera,Argan Oil,Avocado,Beeswax,Beetroot,Castor Oil,Chamomile,Charcoal,Clay,Coconut,Eucalyptus,Green Tea,Honey,Jojoba Oil,Lemon Grass,Moringa,Neem,Niacinamide,Papaya,Pomegranate,Rose,Salicylic Acid,Sandalwood,Shea Butter,Squalene,Sunflower,Tea Tree,Tulsi,Turmeric,Vitamin A,Vitamin C,Vitamin E,Onion,Onion Seed,,,,,,,,,,,,,,,,,,,,,
Conscious,Cruelty Free,Vegan,Natural,Locally Produced,Recycled,Recyclable,Resource Saved,Upcycled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pack Size,Single,Pack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preference,Acetone Free,Alcohol Free,Allergy Free,Ammonia-Free,Animal Hair,Anti-Inflammatory,Anti-Oxidants,Clinically Proven,Collagen,Cruelty-Free,Dermatologically Tested,Formaldehyde Free,Fragrance-Free,Gluten Free,Halal Certified,Herbal,Hyaluronic Acid,Hypoallergenic,Mineral Oil-Free,Natural,Niacinamide,Non-Comedogenic,Non-Vegetarian,Nut Free,Oil-Free,Ophthalmologically Tested,Organic,PABA-Free,Paraben-Free,Paraffin-Free,Petrochemical-Free,Propleyne-Free,Pthalate-Free,Salicylic Acid,Silicone-Free,SLS-Free,Soap-Free,Squalane,Sulphate Free,Sun Protection,Synthetic,Synthetic Color-Free,Vegan,Vegetarian,Vitamin A,Vitamin C,Vitamin E,Water Resistant,Waterproof,Waterless,,,,,,
Formulation,Cream,Foam,Gel,Lotion,Paste,Powder,Wax,Liquid,Bar,Butter,Spray,Mist,Roll-On,Serum,Solid,Mousse,Stick,Tablet,Capsule,Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Type,Dry Skin,Oily Skin,Sensitive Skin,Normal Skin,All Skin Types,Very Dry Skin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Age Group,New Born,0-3 Months,3-6 Months,6-9 Months,9-12 Months,12-18 Months,18-24 Months,24-36 Months,3-4 Years,4-5 Years,5-6 Years,6-7 Years,7-8 Years,8-9 Years,9-10 Years,10-11 Years,11-12 Years,12-13 Years,13-14 Years,14-15 Years,15-16 Years,16 Years & Above,20 Years & Above,30 Years & Above,40 Years & Above,50 Years & Above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Occasion,Day,Evening,Work,Party,Casual,Formal,Sports,Festive,Brunch,Everyday Essentials,Workout,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragrance Family,Fresh,Floral,Earthy & Woody,Warm & Spicy,Fruity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hair Type,Dry,Normal,Curly,Straight,Dull,Oily,Fine,Thick,Thin,Wavy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benefit,Age Defying,Curling,HD Photogenic,Lengthening,Luminous,Pore Minimising,Thickening,Volumizing,Waterproof,Long Lasting,Plumping,Transfer Proof,Transfer Resistant,Growth Boosting,Cuticle Care,Hydrating,Strengthening,Repairing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Warranty,No Warranty,Up to 6 Months,Up to 1 Year,Up to 2 Years,More than 2 Years,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jewellery Type,Statement,Stones,Pearl,Kundan,Oxidised,Tasse,Sterling Silver,Meenakari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pattern,Solid/Plain,Embellished/Sequined,Printed,Detailing,Embroidered,Tie & Dye,Geometric,Patterned,Floral,Polka Dots,Pleated,Animal Print,Stripes,Ruffled,Plaid,Checks,Mirror Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extension Type,Human Hair,Animal Fur,Synthetic Hair,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Extension Colour,Brown,Black,Red,Maroon,Purple,Blue,Green,Gold,Pink,Grey,Orange,Yellow,Bronze,White,Lavender,Clear,Turquoise,Silver,Transparent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finish,Matte,Luminous,Radiant,Natural,Shimmer,Creme,Satin,Tinted,Metallic,Glitter,Glossy,Special Effects,Clear,Duochrome,Gel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage,Full Coverage,Medium Coverage,Low Coverage,Sheer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skin Tone,Medium/Wheatish,Fair/Light,Dusky/Dark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SPF,Above 50,Between 30-50,Between 15-30,Below 15,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bristle Type,Natural,Synthetic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brush Type,Foundation Brush,Stippling Brush,Concealer Brush,Powder Brush,Blush Brush,Contour Brush,Bronzer Brush,Highlight Brush,Eyeshadow Brush,Eyeshadow Crease Brush,Eyeshadow Blending Brush,Eye Liner Brush,Mascara Brush/Wand,Lip Brush,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flavours,Berry,Strawberry,Raspberry,Chocolate,Vanilla,French Vanilla,Mint,Watermelon,Mango,Honey,Lemon,Banana,Cherry,Rose,Salted Caramel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
